timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1650120669255,67,OK,200,OK,OK Endpoint 1-1,text,true,,119,126,1,1,http://raspberrypi.local:8085/ok,65,0,44
1650120669324,9,OK,200,OK,OK Endpoint 1-1,text,true,,119,126,1,1,http://raspberrypi.local:8085/ok,9,0,0
1650120669333,12,OK,200,OK,OK Endpoint 1-1,text,true,,119,126,1,1,http://raspberrypi.local:8085/ok,12,0,0
1650120669346,9,OK,200,OK,OK Endpoint 1-1,text,true,,119,126,1,1,http://raspberrypi.local:8085/ok,9,0,0
1650120669356,9,OK,200,OK,OK Endpoint 1-1,text,true,,119,126,1,1,http://raspberrypi.local:8085/ok,9,0,0
1650120669366,9,OK,200,OK,OK Endpoint 1-1,text,true,,119,126,1,1,http://raspberrypi.local:8085/ok,9,0,0
1650120669376,9,OK,200,OK,OK Endpoint 1-1,text,true,,119,126,1,1,http://raspberrypi.local:8085/ok,9,0,0
1650120669386,9,OK,200,OK,OK Endpoint 1-1,text,true,,119,126,1,1,http://raspberrypi.local:8085/ok,9,0,0
1650120669396,8,OK,200,OK,OK Endpoint 1-1,text,true,,119,126,1,1,http://raspberrypi.local:8085/ok,8,0,0
1650120669405,7,OK,200,OK,OK Endpoint 1-1,text,true,,119,126,1,1,http://raspberrypi.local:8085/ok,7,0,0
1650120669674,27,OK,200,OK,OK Endpoint 1-2,text,true,,119,126,1,1,http://raspberrypi.local:8085/ok,27,0,13
1650120669702,11,OK,200,OK,OK Endpoint 1-2,text,true,,119,126,1,1,http://raspberrypi.local:8085/ok,11,0,0
1650120669714,11,OK,200,OK,OK Endpoint 1-2,text,true,,119,126,1,1,http://raspberrypi.local:8085/ok,11,0,0
1650120669726,9,OK,200,OK,OK Endpoint 1-2,text,true,,119,126,1,1,http://raspberrypi.local:8085/ok,9,0,0
1650120669736,10,OK,200,OK,OK Endpoint 1-2,text,true,,119,126,1,1,http://raspberrypi.local:8085/ok,10,0,0
1650120669747,8,OK,200,OK,OK Endpoint 1-2,text,true,,119,126,1,1,http://raspberrypi.local:8085/ok,8,0,0
1650120669756,9,OK,200,OK,OK Endpoint 1-2,text,true,,119,126,1,1,http://raspberrypi.local:8085/ok,9,0,0
1650120669766,9,OK,200,OK,OK Endpoint 1-2,text,true,,119,126,1,1,http://raspberrypi.local:8085/ok,9,0,0
1650120669776,9,OK,200,OK,OK Endpoint 1-2,text,true,,119,126,1,1,http://raspberrypi.local:8085/ok,9,0,0
1650120669786,8,OK,200,OK,OK Endpoint 1-2,text,true,,119,126,1,1,http://raspberrypi.local:8085/ok,8,0,0
1650120670173,18,OK,200,OK,OK Endpoint 1-3,text,true,,119,126,1,1,http://raspberrypi.local:8085/ok,18,0,6
