timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1650113456084,15,Read File,200,OK,Read File Endpoint 4-1,text,true,,6181,133,1,1,http://raspberrypi.local:8081/read-file,15,0,5
1650113456100,5,Read File,200,OK,Read File Endpoint 4-1,text,true,,6181,133,1,1,http://raspberrypi.local:8081/read-file,4,0,0
1650113456105,6,Read File,200,OK,Read File Endpoint 4-1,text,true,,6181,133,1,1,http://raspberrypi.local:8081/read-file,5,0,0
1650113456111,6,Read File,200,OK,Read File Endpoint 4-1,text,true,,6181,133,1,1,http://raspberrypi.local:8081/read-file,5,0,0
1650113456117,7,Read File,200,OK,Read File Endpoint 4-1,text,true,,6181,133,1,1,http://raspberrypi.local:8081/read-file,6,0,0
1650113456124,5,Read File,200,OK,Read File Endpoint 4-1,text,true,,6181,133,1,1,http://raspberrypi.local:8081/read-file,4,0,0
1650113456129,7,Read File,200,OK,Read File Endpoint 4-1,text,true,,6181,133,1,1,http://raspberrypi.local:8081/read-file,6,0,0
1650113456136,6,Read File,200,OK,Read File Endpoint 4-1,text,true,,6181,133,1,1,http://raspberrypi.local:8081/read-file,5,0,0
1650113456142,7,Read File,200,OK,Read File Endpoint 4-1,text,true,,6181,133,1,1,http://raspberrypi.local:8081/read-file,6,0,0
1650113456149,8,Read File,200,OK,Read File Endpoint 4-1,text,true,,6181,133,1,1,http://raspberrypi.local:8081/read-file,8,0,0
1650113456588,22,Read File,200,OK,Read File Endpoint 4-2,text,true,,6181,133,1,1,http://raspberrypi.local:8081/read-file,21,0,12
1650113456611,8,Read File,200,OK,Read File Endpoint 4-2,text,true,,6181,133,1,1,http://raspberrypi.local:8081/read-file,8,0,0
1650113456619,7,Read File,200,OK,Read File Endpoint 4-2,text,true,,6181,133,1,1,http://raspberrypi.local:8081/read-file,6,0,0
1650113456626,5,Read File,200,OK,Read File Endpoint 4-2,text,true,,6181,133,1,1,http://raspberrypi.local:8081/read-file,5,0,0
1650113456632,6,Read File,200,OK,Read File Endpoint 4-2,text,true,,6181,133,1,1,http://raspberrypi.local:8081/read-file,5,0,0
1650113456638,9,Read File,200,OK,Read File Endpoint 4-2,text,true,,6181,133,1,1,http://raspberrypi.local:8081/read-file,8,0,0
1650113456647,7,Read File,200,OK,Read File Endpoint 4-2,text,true,,6181,133,1,1,http://raspberrypi.local:8081/read-file,6,0,0
