timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1650114260559,19,Read File,200,,Read File Endpoint 4-1,text,true,,6208,133,1,1,http://raspberrypi.local:8082/read-file,18,0,3
1650114260578,12,Read File,200,,Read File Endpoint 4-1,text,true,,6208,133,1,1,http://raspberrypi.local:8082/read-file,11,0,0
1650114260590,10,Read File,200,,Read File Endpoint 4-1,text,true,,6208,133,1,1,http://raspberrypi.local:8082/read-file,9,0,0
1650114260600,10,Read File,200,,Read File Endpoint 4-1,text,true,,6208,133,1,1,http://raspberrypi.local:8082/read-file,9,0,0
1650114260610,7,Read File,200,,Read File Endpoint 4-1,text,true,,6208,133,1,1,http://raspberrypi.local:8082/read-file,7,0,0
1650114260618,8,Read File,200,,Read File Endpoint 4-1,text,true,,6208,133,1,1,http://raspberrypi.local:8082/read-file,8,0,0
1650114260626,11,Read File,200,,Read File Endpoint 4-1,text,true,,6208,133,1,1,http://raspberrypi.local:8082/read-file,10,0,0
1650114260637,7,Read File,200,,Read File Endpoint 4-1,text,true,,6208,133,1,1,http://raspberrypi.local:8082/read-file,7,0,0
1650114260645,10,Read File,200,,Read File Endpoint 4-1,text,true,,6208,133,1,1,http://raspberrypi.local:8082/read-file,9,0,0
1650114260655,8,Read File,200,,Read File Endpoint 4-1,text,true,,6208,133,1,1,http://raspberrypi.local:8082/read-file,7,0,0
1650114261059,13,Read File,200,,Read File Endpoint 4-2,text,true,,6208,133,1,1,http://raspberrypi.local:8082/read-file,13,0,5
1650114261073,6,Read File,200,,Read File Endpoint 4-2,text,true,,6208,133,1,1,http://raspberrypi.local:8082/read-file,6,0,0
1650114261080,6,Read File,200,,Read File Endpoint 4-2,text,true,,6208,133,1,1,http://raspberrypi.local:8082/read-file,5,0,0
1650114261086,7,Read File,200,,Read File Endpoint 4-2,text,true,,6208,133,1,1,http://raspberrypi.local:8082/read-file,6,0,0
1650114261093,7,Read File,200,,Read File Endpoint 4-2,text,true,,6208,133,1,1,http://raspberrypi.local:8082/read-file,6,0,0
1650114261100,7,Read File,200,,Read File Endpoint 4-2,text,true,,6208,133,1,1,http://raspberrypi.local:8082/read-file,6,0,0
1650114261107,7,Read File,200,,Read File Endpoint 4-2,text,true,,6208,133,1,1,http://raspberrypi.local:8082/read-file,6,0,0
1650114261114,11,Read File,200,,Read File Endpoint 4-2,text,true,,6208,133,1,1,http://raspberrypi.local:8082/read-file,9,0,0
1650114261125,10,Read File,200,,Read File Endpoint 4-2,text,true,,6208,133,1,1,http://raspberrypi.local:8082/read-file,7,0,0
1650114261135,7,Read File,200,,Read File Endpoint 4-2,text,true,,6208,133,1,1,http://raspberrypi.local:8082/read-file,6,0,0
1650114261564,15,Read File,200,,Read File Endpoint 4-3,text,true,,6208,133,1,1,http://raspberrypi.local:8082/read-file,14,0,6
1650114261579,7,Read File,200,,Read File Endpoint 4-3,text,true,,6208,133,1,1,http://raspberrypi.local:8082/read-file,5,0,0
