timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1650114755608,24,Read File,200,OK,Read File Endpoint 4-1,text,true,,6276,133,1,1,http://raspberrypi.local:8083/read-file,24,0,4
1650114755632,9,Read File,200,OK,Read File Endpoint 4-1,text,true,,6276,133,1,1,http://raspberrypi.local:8083/read-file,9,0,0
1650114755641,7,Read File,200,OK,Read File Endpoint 4-1,text,true,,6276,133,1,1,http://raspberrypi.local:8083/read-file,6,0,0
1650114755649,11,Read File,200,OK,Read File Endpoint 4-1,text,true,,6276,133,1,1,http://raspberrypi.local:8083/read-file,9,0,0
1650114755660,10,Read File,200,OK,Read File Endpoint 4-1,text,true,,6276,133,1,1,http://raspberrypi.local:8083/read-file,9,0,0
1650114755670,7,Read File,200,OK,Read File Endpoint 4-1,text,true,,6276,133,1,1,http://raspberrypi.local:8083/read-file,6,0,0
1650114755677,10,Read File,200,OK,Read File Endpoint 4-1,text,true,,6276,133,1,1,http://raspberrypi.local:8083/read-file,9,0,0
1650114755688,7,Read File,200,OK,Read File Endpoint 4-1,text,true,,6276,133,1,1,http://raspberrypi.local:8083/read-file,6,0,0
1650114755695,8,Read File,200,OK,Read File Endpoint 4-1,text,true,,6276,133,1,1,http://raspberrypi.local:8083/read-file,7,0,0
1650114755703,9,Read File,200,OK,Read File Endpoint 4-1,text,true,,6276,133,1,1,http://raspberrypi.local:8083/read-file,8,0,0
1650114756108,22,Read File,200,OK,Read File Endpoint 4-2,text,true,,6276,133,1,1,http://raspberrypi.local:8083/read-file,21,0,10
1650114756130,10,Read File,200,OK,Read File Endpoint 4-2,text,true,,6276,133,1,1,http://raspberrypi.local:8083/read-file,9,0,0
1650114756140,13,Read File,200,OK,Read File Endpoint 4-2,text,true,,6276,133,1,1,http://raspberrypi.local:8083/read-file,12,0,0
1650114756153,10,Read File,200,OK,Read File Endpoint 4-2,text,true,,6276,133,1,1,http://raspberrypi.local:8083/read-file,9,0,0
1650114756163,8,Read File,200,OK,Read File Endpoint 4-2,text,true,,6276,133,1,1,http://raspberrypi.local:8083/read-file,7,0,0
1650114756171,9,Read File,200,OK,Read File Endpoint 4-2,text,true,,6276,133,1,1,http://raspberrypi.local:8083/read-file,8,0,0
1650114756180,12,Read File,200,OK,Read File Endpoint 4-2,text,true,,6276,133,1,1,http://raspberrypi.local:8083/read-file,11,0,0
1650114756192,9,Read File,200,OK,Read File Endpoint 4-2,text,true,,6276,133,1,1,http://raspberrypi.local:8083/read-file,8,0,0
1650114756201,8,Read File,200,OK,Read File Endpoint 4-2,text,true,,6276,133,1,1,http://raspberrypi.local:8083/read-file,7,0,0
1650114756209,8,Read File,200,OK,Read File Endpoint 4-2,text,true,,6276,133,1,1,http://raspberrypi.local:8083/read-file,8,0,0
1650114756611,24,Read File,200,OK,Read File Endpoint 4-3,text,true,,6276,133,1,1,http://raspberrypi.local:8083/read-file,23,0,13
1650114756635,8,Read File,200,OK,Read File Endpoint 4-3,text,true,,6276,133,1,1,http://raspberrypi.local:8083/read-file,8,0,0
1650114756644,8,Read File,200,OK,Read File Endpoint 4-3,text,true,,6276,133,1,1,http://raspberrypi.local:8083/read-file,7,0,0
1650114756652,9,Read File,200,OK,Read File Endpoint 4-3,text,true,,6276,133,1,1,http://raspberrypi.local:8083/read-file,8,0,0
1650114756661,9,Read File,200,OK,Read File Endpoint 4-3,text,true,,6276,133,1,1,http://raspberrypi.local:8083/read-file,9,0,0
1650114756670,11,Read File,200,OK,Read File Endpoint 4-3,text,true,,6276,133,1,1,http://raspberrypi.local:8083/read-file,11,0,0
1650114756681,10,Read File,200,OK,Read File Endpoint 4-3,text,true,,6276,133,1,1,http://raspberrypi.local:8083/read-file,8,0,0
1650114756691,12,Read File,200,OK,Read File Endpoint 4-3,text,true,,6276,133,1,1,http://raspberrypi.local:8083/read-file,12,0,0
1650114756703,10,Read File,200,OK,Read File Endpoint 4-3,text,true,,6276,133,1,1,http://raspberrypi.local:8083/read-file,9,0,0
1650114756713,11,Read File,200,OK,Read File Endpoint 4-3,text,true,,6276,133,1,1,http://raspberrypi.local:8083/read-file,10,0,0
1650114757112,22,Read File,200,OK,Read File Endpoint 4-4,text,true,,6276,133,1,1,http://raspberrypi.local:8083/read-file,21,0,12
1650114757134,9,Read File,200,OK,Read File Endpoint 4-4,text,true,,6276,133,1,1,http://raspberrypi.local:8083/read-file,8,0,0
1650114757143,11,Read File,200,OK,Read File Endpoint 4-4,text,true,,6276,133,1,1,http://raspberrypi.local:8083/read-file,10,0,0
1650114757155,8,Read File,200,OK,Read File Endpoint 4-4,text,true,,6276,133,1,1,http://raspberrypi.local:8083/read-file,7,0,0
1650114757163,8,Read File,200,OK,Read File Endpoint 4-4,text,true,,6276,133,1,1,http://raspberrypi.local:8083/read-file,7,0,0
1650114757171,8,Read File,200,OK,Read File Endpoint 4-4,text,true,,6276,133,1,1,http://raspberrypi.local:8083/read-file,7,0,0
1650114757179,8,Read File,200,OK,Read File Endpoint 4-4,text,true,,6276,133,1,1,http://raspberrypi.local:8083/read-file,7,0,0
1650114757187,9,Read File,200,OK,Read File Endpoint 4-4,text,true,,6276,133,1,1,http://raspberrypi.local:8083/read-file,8,0,0
1650114757196,9,Read File,200,OK,Read File Endpoint 4-4,text,true,,6276,133,1,1,http://raspberrypi.local:8083/read-file,9,0,0
1650114757206,8,Read File,200,OK,Read File Endpoint 4-4,text,true,,6276,133,1,1,http://raspberrypi.local:8083/read-file,7,0,0
1650114757610,26,Read File,200,OK,Read File Endpoint 4-5,text,true,,6276,133,1,1,http://raspberrypi.local:8083/read-file,26,0,12
1650114757637,8,Read File,200,OK,Read File Endpoint 4-5,text,true,,6276,133,1,1,http://raspberrypi.local:8083/read-file,8,0,0
1650114757646,8,Read File,200,OK,Read File Endpoint 4-5,text,true,,6276,133,1,1,http://raspberrypi.local:8083/read-file,7,0,0
1650114757654,9,Read File,200,OK,Read File Endpoint 4-5,text,true,,6276,133,1,1,http://raspberrypi.local:8083/read-file,8,0,0
1650114757663,10,Read File,200,OK,Read File Endpoint 4-5,text,true,,6276,133,1,1,http://raspberrypi.local:8083/read-file,8,0,0
1650114757673,10,Read File,200,OK,Read File Endpoint 4-5,text,true,,6276,133,1,1,http://raspberrypi.local:8083/read-file,9,0,0
1650114757683,12,Read File,200,OK,Read File Endpoint 4-5,text,true,,6276,133,1,1,http://raspberrypi.local:8083/read-file,11,0,0
1650114757695,8,Read File,200,OK,Read File Endpoint 4-5,text,true,,6276,133,1,1,http://raspberrypi.local:8083/read-file,7,0,0
1650114757703,11,Read File,200,OK,Read File Endpoint 4-5,text,true,,6276,133,1,1,http://raspberrypi.local:8083/read-file,10,0,0
1650114757714,9,Read File,200,OK,Read File Endpoint 4-5,text,true,,6276,133,1,1,http://raspberrypi.local:8083/read-file,8,0,0
