timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1650114934804,71,OK,200,OK,OK Endpoint 1-1,text,true,,228,126,1,1,http://raspberrypi.local:8084/ok,69,0,39
1650114934878,6,OK,200,OK,OK Endpoint 1-1,text,true,,227,126,1,1,http://raspberrypi.local:8084/ok,6,0,0
1650114934884,7,OK,200,OK,OK Endpoint 1-1,text,true,,227,126,1,1,http://raspberrypi.local:8084/ok,7,0,0
1650114934891,6,OK,200,OK,OK Endpoint 1-1,text,true,,227,126,1,1,http://raspberrypi.local:8084/ok,6,0,0
1650114934898,6,OK,200,OK,OK Endpoint 1-1,text,true,,227,126,1,1,http://raspberrypi.local:8084/ok,6,0,0
1650114934904,5,OK,200,OK,OK Endpoint 1-1,text,true,,227,126,1,1,http://raspberrypi.local:8084/ok,5,0,0
1650114934909,6,OK,200,OK,OK Endpoint 1-1,text,true,,227,126,1,1,http://raspberrypi.local:8084/ok,6,0,0
1650114934915,6,OK,200,OK,OK Endpoint 1-1,text,true,,227,126,1,1,http://raspberrypi.local:8084/ok,6,0,0
1650114934921,6,OK,200,OK,OK Endpoint 1-1,text,true,,227,126,1,1,http://raspberrypi.local:8084/ok,6,0,0
1650114934928,6,OK,200,OK,OK Endpoint 1-1,text,true,,227,126,1,1,http://raspberrypi.local:8084/ok,6,0,0
1650114935214,24,OK,200,OK,OK Endpoint 1-2,text,true,,228,126,1,1,http://raspberrypi.local:8084/ok,24,0,13
1650114935239,7,OK,200,OK,OK Endpoint 1-2,text,true,,227,126,1,1,http://raspberrypi.local:8084/ok,7,0,0
1650114935246,7,OK,200,OK,OK Endpoint 1-2,text,true,,227,126,1,1,http://raspberrypi.local:8084/ok,7,0,0
1650114935253,7,OK,200,OK,OK Endpoint 1-2,text,true,,227,126,1,1,http://raspberrypi.local:8084/ok,7,0,0
1650114935260,6,OK,200,OK,OK Endpoint 1-2,text,true,,227,126,1,1,http://raspberrypi.local:8084/ok,6,0,0
1650114935266,7,OK,200,OK,OK Endpoint 1-2,text,true,,227,126,1,1,http://raspberrypi.local:8084/ok,7,0,0
1650114935273,5,OK,200,OK,OK Endpoint 1-2,text,true,,227,126,1,1,http://raspberrypi.local:8084/ok,5,0,0
1650114935279,5,OK,200,OK,OK Endpoint 1-2,text,true,,227,126,1,1,http://raspberrypi.local:8084/ok,5,0,0
1650114935284,6,OK,200,OK,OK Endpoint 1-2,text,true,,227,126,1,1,http://raspberrypi.local:8084/ok,6,0,0
1650114935290,6,OK,200,OK,OK Endpoint 1-2,text,true,,227,126,1,1,http://raspberrypi.local:8084/ok,6,0,0
1650114935715,22,OK,200,OK,OK Endpoint 1-3,text,true,,228,126,1,1,http://raspberrypi.local:8084/ok,22,0,12
1650114935738,6,OK,200,OK,OK Endpoint 1-3,text,true,,227,126,1,1,http://raspberrypi.local:8084/ok,6,0,0
1650114935745,6,OK,200,OK,OK Endpoint 1-3,text,true,,227,126,1,1,http://raspberrypi.local:8084/ok,6,0,0
1650114935752,6,OK,200,OK,OK Endpoint 1-3,text,true,,227,126,1,1,http://raspberrypi.local:8084/ok,6,0,0
1650114935758,7,OK,200,OK,OK Endpoint 1-3,text,true,,227,126,1,1,http://raspberrypi.local:8084/ok,7,0,0
1650114935765,7,OK,200,OK,OK Endpoint 1-3,text,true,,227,126,1,1,http://raspberrypi.local:8084/ok,7,0,0
1650114935772,5,OK,200,OK,OK Endpoint 1-3,text,true,,227,126,1,1,http://raspberrypi.local:8084/ok,5,0,0
1650114935778,5,OK,200,OK,OK Endpoint 1-3,text,true,,227,126,1,1,http://raspberrypi.local:8084/ok,5,0,0
1650114935783,6,OK,200,OK,OK Endpoint 1-3,text,true,,227,126,1,1,http://raspberrypi.local:8084/ok,6,0,0
1650114935790,5,OK,200,OK,OK Endpoint 1-3,text,true,,227,126,1,1,http://raspberrypi.local:8084/ok,5,0,0
1650114936213,26,OK,200,OK,OK Endpoint 1-4,text,true,,228,126,1,1,http://raspberrypi.local:8084/ok,26,0,12
1650114936240,6,OK,200,OK,OK Endpoint 1-4,text,true,,227,126,1,1,http://raspberrypi.local:8084/ok,6,0,0
1650114936247,5,OK,200,OK,OK Endpoint 1-4,text,true,,227,126,1,1,http://raspberrypi.local:8084/ok,5,0,0
