timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1650115083468,17,Read File,200,OK,Read File Endpoint 4-1,text,true,,6312,133,1,1,http://raspberrypi.local:8084/read-file,15,0,4
1650115083485,10,Read File,200,OK,Read File Endpoint 4-1,text,true,,6311,133,1,1,http://raspberrypi.local:8084/read-file,10,0,0
1650115083496,7,Read File,200,OK,Read File Endpoint 4-1,text,true,,6311,133,1,1,http://raspberrypi.local:8084/read-file,6,0,0
1650115083503,7,Read File,200,OK,Read File Endpoint 4-1,text,true,,6311,133,1,1,http://raspberrypi.local:8084/read-file,6,0,0
1650115083510,8,Read File,200,OK,Read File Endpoint 4-1,text,true,,6311,133,1,1,http://raspberrypi.local:8084/read-file,7,0,0
1650115083518,6,Read File,200,OK,Read File Endpoint 4-1,text,true,,6311,133,1,1,http://raspberrypi.local:8084/read-file,5,0,0
1650115083524,5,Read File,200,OK,Read File Endpoint 4-1,text,true,,6311,133,1,1,http://raspberrypi.local:8084/read-file,5,0,0
1650115083529,8,Read File,200,OK,Read File Endpoint 4-1,text,true,,6311,133,1,1,http://raspberrypi.local:8084/read-file,7,0,0
1650115083537,6,Read File,200,OK,Read File Endpoint 4-1,text,true,,6311,133,1,1,http://raspberrypi.local:8084/read-file,5,0,0
1650115083544,5,Read File,200,OK,Read File Endpoint 4-1,text,true,,6311,133,1,1,http://raspberrypi.local:8084/read-file,4,0,0
1650115083972,21,Read File,200,OK,Read File Endpoint 4-2,text,true,,6312,133,1,1,http://raspberrypi.local:8084/read-file,21,0,12
1650115083994,10,Read File,200,OK,Read File Endpoint 4-2,text,true,,6311,133,1,1,http://raspberrypi.local:8084/read-file,9,0,0
1650115084004,7,Read File,200,OK,Read File Endpoint 4-2,text,true,,6311,133,1,1,http://raspberrypi.local:8084/read-file,7,0,0
1650115084011,10,Read File,200,OK,Read File Endpoint 4-2,text,true,,6311,133,1,1,http://raspberrypi.local:8084/read-file,8,0,0
1650115084021,10,Read File,200,OK,Read File Endpoint 4-2,text,true,,6311,133,1,1,http://raspberrypi.local:8084/read-file,9,0,0
1650115084031,6,Read File,200,OK,Read File Endpoint 4-2,text,true,,6311,133,1,1,http://raspberrypi.local:8084/read-file,6,0,0
1650115084037,7,Read File,200,OK,Read File Endpoint 4-2,text,true,,6311,133,1,1,http://raspberrypi.local:8084/read-file,7,0,0
