Container,CPU Usage,Memory Usage;
go,0.00%,1.488MiB / 3.706GiB;
go,0.00%,1.488MiB / 3.706GiB;
go,10.00%,9.156MiB / 3.706GiB;
go,0.00%,8.645MiB / 3.706GiB;
go,19.13%,7.727MiB / 3.706GiB;
go,0.00%,8.398MiB / 3.706GiB;
go,26.55%,8.332MiB / 3.706GiB;
go,0.00%,7.293MiB / 3.706GiB;
go,0.60%,7.805MiB / 3.706GiB;
go,36.27%,7.789MiB / 3.706GiB;
go,0.00%,8.422MiB / 3.706GiB;
go,0.00%,8.453MiB / 3.706GiB;
go,32.18%,8.469MiB / 3.706GiB;
go,0.18%,8.871MiB / 3.706GiB;
go,0.00%,7.922MiB / 3.706GiB;
go,18.90%,9.41MiB / 3.706GiB;
go,0.00%,8.512MiB / 3.706GiB;
go,4.14%,8.469MiB / 3.706GiB;
go,11.10%,9.84MiB / 3.706GiB;
go,0.00%,7.934MiB / 3.706GiB;
go,34.34%,7.922MiB / 3.706GiB;
go,0.00%,8.473MiB / 3.706GiB;
go,22.09%,8.492MiB / 3.706GiB;
go,0.00%,7.465MiB / 3.706GiB;
go,0.00%,8.531MiB / 3.706GiB;
go,8.48%,7.512MiB / 3.706GiB;
go,0.00%,8.531MiB / 3.706GiB;
go,36.93%,9.715MiB / 3.706GiB;
go,0.00%,8.895MiB / 3.706GiB;
go,0.11%,9.582MiB / 3.706GiB;
go,0.00%,7.977MiB / 3.706GiB;
go,0.00%,7.977MiB / 3.706GiB;
go,0.00%,7.977MiB / 3.706GiB;
go,0.00%,7.977MiB / 3.706GiB;
go,0.00%,7.977MiB / 3.706GiB;
go,0.00%,7.977MiB / 3.706GiB;
go,0.00%,7.977MiB / 3.706GiB;
go,0.00%,7.977MiB / 3.706GiB;
