Container,CPU Usage,Memory Usage;
java,0.11%,129MiB / 3.706GiB;
java,0.10%,129MiB / 3.706GiB;
java,0.16%,137.2MiB / 3.706GiB;
java,20.47%,138.5MiB / 3.706GiB;
java,0.14%,138.9MiB / 3.706GiB;
java,5.64%,139.3MiB / 3.706GiB;
java,0.29%,139.6MiB / 3.706GiB;
java,0.27%,140MiB / 3.706GiB;
java,14.02%,140.3MiB / 3.706GiB;
java,0.14%,140.5MiB / 3.706GiB;
java,25.74%,140.6MiB / 3.706GiB;
java,10.93%,140.9MiB / 3.706GiB;
java,0.17%,141MiB / 3.706GiB;
java,0.16%,141.1MiB / 3.706GiB;
java,1.51%,141.3MiB / 3.706GiB;
java,0.12%,141.5MiB / 3.706GiB;
java,6.20%,143.7MiB / 3.706GiB;
java,1.63%,143.8MiB / 3.706GiB;
java,0.13%,143.8MiB / 3.706GiB;
java,7.15%,144MiB / 3.706GiB;
java,0.13%,144.1MiB / 3.706GiB;
java,16.27%,144.1MiB / 3.706GiB;
java,0.15%,144.2MiB / 3.706GiB;
java,0.14%,144.5MiB / 3.706GiB;
java,7.03%,144.9MiB / 3.706GiB;
java,0.14%,144.8MiB / 3.706GiB;
java,23.60%,144.9MiB / 3.706GiB;
java,0.15%,145MiB / 3.706GiB;
java,3.48%,145.1MiB / 3.706GiB;
java,0.15%,145.1MiB / 3.706GiB;
java,0.11%,145.1MiB / 3.706GiB;
java,0.08%,145.1MiB / 3.706GiB;
java,0.08%,145.1MiB / 3.706GiB;
java,0.12%,145.1MiB / 3.706GiB;
java,0.08%,145.1MiB / 3.706GiB;
java,0.09%,145.1MiB / 3.706GiB;
java,0.11%,145.1MiB / 3.706GiB;
java,0.09%,145.1MiB / 3.706GiB;
