Container,CPU Usage,Memory Usage;
node,0.00%,11.36MiB / 3.706GiB;
node,0.00%,11.36MiB / 3.706GiB;
node,15.44%,23.9MiB / 3.706GiB;
node,0.02%,31.44MiB / 3.706GiB;
node,13.24%,34.61MiB / 3.706GiB;
node,0.00%,42.97MiB / 3.706GiB;
node,7.03%,47.79MiB / 3.706GiB;
node,6.25%,49.96MiB / 3.706GiB;
node,0.00%,50.37MiB / 3.706GiB;
node,13.13%,51.37MiB / 3.706GiB;
node,0.97%,52.61MiB / 3.706GiB;
node,0.02%,52.79MiB / 3.706GiB;
node,6.39%,54.33MiB / 3.706GiB;
node,0.36%,54.47MiB / 3.706GiB;
node,0.02%,34.01MiB / 3.706GiB;
node,8.95%,45.65MiB / 3.706GiB;
node,0.00%,25.29MiB / 3.706GiB;
node,0.01%,36.56MiB / 3.706GiB;
node,12.43%,43.95MiB / 3.706GiB;
node,0.00%,42.96MiB / 3.706GiB;
node,8.27%,56.89MiB / 3.706GiB;
node,0.00%,32.37MiB / 3.706GiB;
node,0.27%,44.19MiB / 3.706GiB;
node,0.37%,45.27MiB / 3.706GiB;
node,0.02%,30.39MiB / 3.706GiB;
node,14.22%,44.83MiB / 3.706GiB;
node,0.02%,45.64MiB / 3.706GiB;
node,7.42%,56.34MiB / 3.706GiB;
node,0.00%,59.27MiB / 3.706GiB;
node,0.01%,37.02MiB / 3.706GiB;
node,0.00%,37.01MiB / 3.706GiB;
node,0.00%,37.01MiB / 3.706GiB;
node,0.00%,37.01MiB / 3.706GiB;
node,0.00%,37.01MiB / 3.706GiB;
node,0.00%,37.01MiB / 3.706GiB;
node,0.00%,37.01MiB / 3.706GiB;
node,0.00%,37.01MiB / 3.706GiB;
