Container,CPU Usage,Memory Usage;
php,0.00%,8.195MiB / 3.706GiB;
php,0.01%,8.195MiB / 3.706GiB;
php,0.00%,10.72MiB / 3.706GiB;
php,7.51%,10.72MiB / 3.706GiB;
php,0.01%,10.72MiB / 3.706GiB;
php,7.11%,10.72MiB / 3.706GiB;
php,0.29%,10.85MiB / 3.706GiB;
php,0.00%,12.83MiB / 3.706GiB;
php,7.49%,12.83MiB / 3.706GiB;
php,0.00%,12.83MiB / 3.706GiB;
php,0.01%,12.82MiB / 3.706GiB;
php,7.49%,12.83MiB / 3.706GiB;
php,0.01%,12.83MiB / 3.706GiB;
php,0.01%,14.9MiB / 3.706GiB;
php,7.22%,15.35MiB / 3.706GiB;
php,0.01%,14.9MiB / 3.706GiB;
php,0.20%,14.9MiB / 3.706GiB;
php,6.65%,16.42MiB / 3.706GiB;
php,0.01%,16.98MiB / 3.706GiB;
php,7.48%,17.01MiB / 3.706GiB;
php,0.01%,17.01MiB / 3.706GiB;
php,7.19%,17.01MiB / 3.706GiB;
php,0.01%,17.01MiB / 3.706GiB;
php,0.00%,17.01MiB / 3.706GiB;
php,7.28%,19.4MiB / 3.706GiB;
php,0.01%,19.11MiB / 3.706GiB;
php,7.38%,19.11MiB / 3.706GiB;
php,0.01%,19.11MiB / 3.706GiB;
php,0.19%,19.11MiB / 3.706GiB;
php,0.00%,19.11MiB / 3.706GiB;
php,0.00%,19.11MiB / 3.706GiB;
php,0.00%,19.11MiB / 3.706GiB;
php,0.01%,19.11MiB / 3.706GiB;
php,0.00%,19.11MiB / 3.706GiB;
php,0.01%,19.11MiB / 3.706GiB;
php,0.01%,19.11MiB / 3.706GiB;
php,0.00%,19.11MiB / 3.706GiB;
